order_id,order_date,quarter,region,sales_rep,product_category,product_name,customer_type,deal_size,quantity,unit_price,discount_pct,deal_value,deal_status,sale_unit_price,revenue,unit_cost,cost,gross_profit,discount_band
ORD-100018,2024-01-01,2024-Q1,North,Dana Whitfield,Roofing,TPO Membrane 60mil,Homebuilder,Large,274,91.3,0.0534,25016.2,Lost,86.43,0.0,63.91,0.0,0.0,5-10%
ORD-100096,2024-01-01,2024-Q1,North,Priya Nadella,Flooring,Engineered Hardwood Oak,General Contractor,Large,624,47.94,0.0738,29914.56,Lost,44.4,0.0,32.6,0.0,0.0,5-10%
ORD-101786,2024-01-01,2024-Q1,South,Wade Hutchins,Drywall,"Moisture-Resist 5/8"" 4x12",Retailer,Medium,471,12.93,0.1689,6090.03,Lost,10.75,0.0,10.6,0.0,0.0,15-20%
ORD-103106,2024-01-01,2024-Q1,East,Nina Abrams,Insulation,Mineral Wool R-23,Homebuilder,Large,1036,26.22,0.0722,27163.92,Won,24.33,25205.88,19.93,20647.48,4558.4,5-10%
ORD-104786,2024-01-01,2024-Q1,West,Maya Iyer,Roofing,Ridge Vent 4ft,Government/Municipal,Large,475,99.95,0.0596,47476.25,Lost,94.0,0.0,69.97,0.0,0.0,5-10%
ORD-100132,2024-01-01,2024-Q1,North,Grant Holloway,Roofing,Ridge Vent 4ft,General Contractor,Large,324,98.14,0.048,31797.36,Won,93.43,30271.32,68.7,22258.8,8012.52,0-5%
ORD-106395,2024-01-01,2024-Q1,Central,Bianca Ruiz,Roofing,Architectural Shingles (sq),DIY/Individual,Medium,206,94.87,0.0496,19543.22,Won,90.16,18572.96,66.41,13680.46,4892.5,0-5%
ORD-104830,2024-01-01,2024-Q1,West,Brett Okafor,Lumber,2x4 SPF Stud 8ft,Homebuilder,Medium,2614,6.27,0.058,16389.78,Lost,5.91,0.0,5.39,0.0,0.0,5-10%
ORD-103089,2024-01-01,2024-Q1,East,Sofia Marchetti,Flooring,Porcelain Tile 24x24,Government/Municipal,Medium,568,36.68,0.0844,20834.24,Won,33.58,19073.44,24.94,14165.92,4907.52,5-10%
ORD-103216,2024-01-01,2024-Q1,East,Sofia Marchetti,Flooring,Carpet Tile Commercial,Government/Municipal,Medium,652,35.36,0.0565,23054.72,Won,33.36,21750.72,24.04,15674.08,6076.64,5-10%
ORD-103042,2024-01-01,2024-Q1,East,Nina Abrams,Flooring,LVP Waterproof (sqft),General Contractor,Medium,397,37.81,0.0808,15010.57,Won,34.75,13795.75,25.71,10206.87,3588.88,5-10%
ORD-103194,2024-01-02,2024-Q1,East,Nina Abrams,Flooring,Carpet Tile Commercial,Homebuilder,Large,633,45.35,0.0442,28706.55,Won,43.35,27440.55,30.84,19521.72,7918.83,0-5%
